neighborhood_id,name,district,lat,lon,population,rent_per_m2
0,100. YIL,BAĞCILAR,41.065486,28.854242,44925,257.0
1,15 TEMMUZ,BAĞCILAR,41.038308,28.820513,49634,250.0
2,15 TEMMUZ,ESENLER,41.07957,28.875398,12012,480.0
3,19 MAYIS,BÜYÜKÇEKMECE,41.025084,28.586333,8483,385.0
4,19 MAYIS,KADIKÖY,40.977216,29.085136,31515,592.0
5,19 MAYIS,ŞİŞLİ,41.059077,28.991473,10703,496.0
6,50. YIL,SULTANGAZİ,41.09079,28.871505,68529,228.0
7,75. YIL,SULTANGAZİ,41.096158,28.905293,31720,327.0
8,ABDURRAHMAN NAFİZ GÜRMAN,GÜNGÖREN,41.0044,28.886972,18585,655.0
9,ABDURRAHMANGAZİ,SANCAKTEPE,40.98827,29.229384,49460,337.0
10,ABDURRAHMANGAZİ,SULTANBEYLİ,40.963694,29.259774,27559,383.0
11,ACARLAR,BEYKOZ,41.121714,29.146228,9488,922.0
12,ACIBADEM,KADIKÖY,40.998869,29.03699,28143,696.0
13,ACIBADEM,ÜSKÜDAR,41.005918,29.049143,24109,1057.0
14,ADEM YAVUZ,ÜMRANİYE,41.020074,29.155944,16699,315.0
15,ADNAN KAHVECİ,BEYLİKDÜZÜ,41.006531,28.630873,111164,402.0
16,ADNAN MENDERES,ARNAVUTKÖY,41.208595,28.704852,4728,186.0
17,ADİL,SULTANBEYLİ,40.979029,29.264442,37789,286.0
18,AHMEDİYE,BÜYÜKÇEKMECE,41.087385,28.515226,1075,432.0
19,AHMEDİYE,ÜSKÜDAR,41.016486,29.018192,8180,720.0
20,AHMET YESEVİ,PENDİK,40.866909,29.303482,31296,308.0
21,AHMET YESEVİ,SULTANBEYLİ,40.973055,29.274045,29924,261.0
22,AHMETLİ,ŞİLE,41.146913,29.577504,3497,439.0
23,AKALAN,ÇATALCA,41.258189,28.418466,1166,263.0
24,AKAT,BEŞİKTAŞ,41.081222,29.026136,12089,967.0
25,AKBABA,BEYKOZ,41.150673,29.117497,2762,332.0
26,AKEVLER,ESENYURT,41.020354,28.675266999999998,12761,251.0
27,AKFIRAT,TUZLA,40.924352,29.416211,3002,404.0
28,AKINCILAR,GÜNGÖREN,41.016732,28.869738,17737,331.0
29,AKPINAR,EYÜPSULTAN,41.278963,28.809896,1155,414.0
30,AKPINAR,SANCAKTEPE,40.968421,29.229293,25286,306.0
31,AKSARAY,FATİH,41.006996,28.948733,8008,447.0
32,AKÇABURGAZ,ESENYURT,41.081265,28.628309,27530,279.0
33,AKÇAKESE,ŞİLE,41.142684,29.717774,518,169.0
34,AKÖREN,SİLİVRİ,41.198406,28.337451,1395,280.0
35,AKŞEMSEDDİN,ESENYURT,41.018018,28.698553,8093,218.0
36,AKŞEMSETTİN,EYÜPSULTAN,41.084419,28.922669,38460,351.0
37,AKŞEMSETTİN,FATİH,41.021077,28.944007,18729,528.0
38,AKŞEMSETTİN,SULTANBEYLİ,40.948705,29.298545,14346,308.0
39,ALACALI,ŞİLE,41.183284,29.456297,681,539.0
40,ALEMDAR,FATİH,41.008586,28.974162,246,950.0
41,ALEMDAĞ,ÇEKMEKÖY,41.050298,29.237002,10670,397.0
42,ALKENT 2000,BÜYÜKÇEKMECE,41.077615,28.623335,8400,784.0
43,ALTAYÇEŞME,MALTEPE,40.931352,29.129919,32318,654.0
44,ALTINTEPE,MALTEPE,40.951569,29.10117,30716,657.0
45,ALTINTEPSİ,BAYRAMPAŞA,41.038863,28.901468,29996,251.0
46,ALTINŞEHİR,ÜMRANİYE,41.012651,29.141621,28370,321.0
47,ALTUNİZADE,ÜSKÜDAR,41.024269,29.039263,12608,733.0
48,ALİ KUŞÇU,FATİH,41.020767,28.947841,9665,523.0
49,ALİBAHADIR,BEYKOZ,41.179539,29.202676,767,403.0
50,ALİBEY,SİLİVRİ,41.0720875,28.2501395,16914,341.0
51,ALİBEYKÖY,EYÜPSULTAN,41.07677,28.943979,13888,326.0
52,ALİPAŞA,SİLİVRİ,41.110831,28.220617,1085,249.0
53,AMBARLI,AVCILAR,40.973092,28.715916,32888,321.0
54,ANADOLU,ARNAVUTKÖY,41.186611,28.746992,49342,228.0
55,ANADOLU,TUZLA,40.905703,29.375717,832,304.0
56,ANADOLU HİSARI,BEYKOZ,41.083168,29.067129,2474,773.0
57,ANADOLU KAVAĞI,BEYKOZ,41.174376,29.088742,1466,403.0
58,ANADOLUFENERİ,BEYKOZ,41.216438,29.154064,741,403.0
59,ARAP CAMİ,BEYOĞLU,41.022532,28.971467,89,748.0
60,ARDIÇLI,ESENYURT,41.045404,28.677734,8322,294.0
61,ARMAĞANEVLER,ÜMRANİYE,41.020151,29.119701,39675,420.0
62,ARNAVUTKÖY,BEŞİKTAŞ,41.068328,29.043236,3371,922.0
63,ARNAVUTKÖY MERKEZ,ARNAVUTKÖY,41.183755,28.740018,23571,255.0
64,ASMALI MESCİT,BEYOĞLU,41.030303,28.974999,438,543.0
65,ATAKENT,KÜÇÜKÇEKMECE,41.048898,28.792912,107266,486.0
66,ATAKENT,ÜMRANİYE,41.016872,29.104501,20091,478.0
67,ATAKÖY 1. KISIM,BAKIRKÖY,40.975824,28.869892,1550,734.0
68,ATAKÖY 2-5-6. KISIM,BAKIRKÖY,40.979567,28.858087,14158,877.0
69,ATAKÖY 3-4-11. KISIM,BAKIRKÖY,40.98237,28.85936,7685,649.0
70,ATAKÖY 7-8-9-10. KISIM,BAKIRKÖY,40.9881,28.84681,25967,751.0
71,ATALAR,KARTAL,40.904624,29.171238,31567,563.0
72,ATATÜRK,ARNAVUTKÖY,41.188964,28.758546,11063,247.0
73,ATATÜRK,ATAŞEHİR,40.990645,29.123644,33451,723.0
74,ATATÜRK,BÜYÜKÇEKMECE,41.011304,28.602179,17157,545.0
75,ATATÜRK,ESENYURT,41.038197,28.630894,15875,218.0
76,ATATÜRK,KÜÇÜKÇEKMECE,41.052754,28.798924,41483,252.0
77,ATATÜRK,SANCAKTEPE,41.012166,29.227174,31919,292.0
78,ATATÜRK,ÜMRANİYE,41.027,29.089622,23972,489.0
79,ATİKALİ,FATİH,41.024392,28.942825,13329,439.0
80,AVCIKORU,ŞİLE,41.119353,29.414456,129,539.0
81,AYAZAĞA,SARIYER,41.116673,29.00105,34528,977.0
82,AYDINEVLER,MALTEPE,40.949374,29.123282,21185,546.0
83,AYDINLAR,ÇATALCA,41.37517,28.205271,860,263.0
84,AYDINLAR,ÇEKMEKÖY,41.017196,29.225462,20493,324.0
85,AYDINLI,TUZLA,40.870552,29.329885,77407,425.0
86,AYDINTEPE,TUZLA,40.85248,29.299033,27506,366.0
87,AYVANSARAY,FATİH,41.031814,28.937785,14799,524.0
88,AZİZ MAHMUT HÜDAYİ,ÜSKÜDAR,41.020691,29.011065,8566,600.0
89,AĞAÇDERE,ŞİLE,41.041047,29.706791,129,539.0
90,AĞAÇLI,EYÜPSULTAN,41.26579,28.875522,815,414.0
91,AĞVA MERKEZ,ŞİLE,41.137746,29.854264,2239,536.0
92,AŞAĞI DUDULLU,ÜMRANİYE,41.017669,29.163445,15527,403.0
93,AŞIK VEYSEL,ESENYURT,41.0606995,28.674715,15543,375.0
94,AŞIKVEYSEL,ATAŞEHİR,41.003071,29.092949,12389,256.0
95,BAHÇEKÖY KEMER,SARIYER,41.170908,28.991077,2258,330.0
96,BAHÇEKÖY MERKEZ,SARIYER,41.181361,28.991478,3558,676.0
97,BAHÇEKÖY YENİMAHALLE,SARIYER,41.180006,28.993967,5041,686.0
98,BAHÇELİEVLER,BAHÇELİEVLER,41.004186,28.864478,56928,780.0
99,BAHÇELİEVLER,BÜYÜKÇEKMECE,41.010261,28.499405,4600,299.0
100,BAHÇELİEVLER,PENDİK,40.885377,29.235981,12627,496.0
101,BAHÇEŞEHİR 1. KISIM,BAŞAKŞEHİR,41.062516,28.689154,37997,454.0
102,BAHÇEŞEHİR 2. KISIM,BAŞAKŞEHİR,41.062736,28.684872,63770,415.0
103,BAHŞAYİŞ,ÇATALCA,41.111675,28.541533,398,263.0
104,BAKLACI,BEYKOZ,41.06545,29.145418,3260,378.0
105,BAKLALI,ARNAVUTKÖY,41.258374,28.653687,873,1095.0
106,BALABAN,ARNAVUTKÖY,41.310734,28.612217,454,254.0
107,BALAT,FATİH,41.02691,28.950121,10855,696.0
108,BALIKYOLU,ESENYURT,41.037159,28.68867,29640,206.0
109,BALLICA,PENDİK,40.990458,29.401516,591,382.0
110,BALMUMCU,BEŞİKTAŞ,41.059354,29.014838,3044,520.0
111,BALTALİMANI,SARIYER,41.096973,29.049205,4978,334.0
112,BALİBEY,ŞİLE,41.176695,29.6162555,4197,348.0
113,BARBAROS,ATAŞEHİR,40.993682,29.096736,30487,710.0
114,BARBAROS,BAĞCILAR,41.028414999999995,28.83986,19786,242.0
115,BARBAROS,ÜSKÜDAR,41.014706,29.031712,16742,593.0
116,BARBAROS HAYRETTİN PAŞA,ESENYURT,41.020439,28.643062,28385,346.0
117,BARBAROS HAYRETTİN PAŞA,GAZİOSMANPAŞA,41.074863,28.88792,47603,267.0
118,BARIŞ,BEYLİKDÜZÜ,41.004653,28.654995,55725,436.0
